Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2020-10-20,Batman v Superman: Dawn of Justice,2016,https://boxd.it/1pFz19,3,,,2020-10-19
2020-10-20,Dunkirk,2017,https://boxd.it/1pFz7r,2,,,2020-10-19
2020-11-02,#Alive,2020,https://boxd.it/1rgt3h,,,,2020-11-01
2020-11-14,mother!,2017,https://boxd.it/1srJOf,5,Yes,,2020-11-14
2020-12-21,The Rocky Horror Picture Show,1975,https://boxd.it/1wsAOX,,,,2020-12-20
2021-03-23,Assum Preto,2021,https://boxd.it/1K4Drb,,,,2021-03-23
2021-03-31,Hotel Transylvania 2,2015,https://boxd.it/1L5SFN,,,,2021-03-30
2021-04-04,Mary Queen of Scots,2018,https://boxd.it/1LFBt3,,Yes,,2021-04-03
2021-05-05,Perfectly Natural,2018,https://boxd.it/1QcfVh,,,,2021-05-04
2021-10-18,Music Land,1935,https://boxd.it/2dnKfZ,,,,2021-10-17
2021-10-18,Hybrids,2017,https://boxd.it/2doDbD,,,,2021-10-17
2021-10-18,Kara,2012,,,,,2021-10-17
2021-11-03,Identity,2003,https://boxd.it/2g0MGz,3.5,,,2021-11-02
2021-11-22,The Man from the Future,2011,https://boxd.it/2iS977,3.5,,,2021-11-21
2021-12-02,BoJack Horseman Christmas Special,2014,https://boxd.it/2krlgp,5,,,2021-12-01
2021-12-12,Destino,2003,https://boxd.it/2lUYIp,,Yes,,2021-12-12
2022-01-01,They Don't Wear Black Tie,1981,https://boxd.it/2qaT9n,4,Yes,,2022-01-01
2022-01-02,In a Lonely Place,1950,https://boxd.it/2qqipv,5,,,2022-01-01
2022-01-06,Taxi Driver Bruce Cover,,,5,,,2022-01-05
2022-02-12,Carandiru,2003,https://boxd.it/2ztlEF,,,,2022-02-11
2022-05-13,The Northman,2022,https://boxd.it/2PN5yP,,,,2022-05-12
2022-06-05,One Day,2011,https://boxd.it/2TV38R,,Yes,,2022-06-04
2022-08-01,South Park: Post COVID: The Return of COVID,2021,https://boxd.it/35eP7p,,,,2022-07-31
2022-10-02,Troy,2004,https://boxd.it/3hoRlV,3.5,Yes,,2022-10-01
2022-11-05,All Quiet on the Western Front,1930,https://boxd.it/3oGE8X,,,,2022-11-04
2023-04-21,Mystic River,2003,https://boxd.it/49b68l,,,,2023-04-20
2023-04-21,Mystic River,2003,https://boxd.it/49bevn,4,Yes,,2023-04-21
2023-04-24,Free Guy,2021,https://boxd.it/49RVWl,,,,2023-04-23
2023-05-07,Guardians of the Galaxy Vol. 2,2017,https://boxd.it/4dro61,4,,,2023-05-06
2023-07-21,Barbie,2023,https://boxd.it/4yad0L,,,,2023-07-20
2023-10-23,Midnight Mass,2021,https://boxd.it/52uVfP,,,,2023-10-22
2024-02-22,A History of Violence,2005,https://boxd.it/5Tb0h9,,Yes,,2024-02-21
2024-03-01,Déjeuner du Chat,1895,https://boxd.it/5WFmNt,,,,2024-02-29
