Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2021-01-02,The Matrix Reloaded,2003,https://boxd.it/1yvDDn,,,,2021-01-02
2021-01-03,Bill & Ted's Bogus Journey,1991,https://boxd.it/1yD6HH,,,,2021-01-02
2021-01-03,Bill & Ted Face the Music,2020,https://boxd.it/1yG4Fb,,,,2021-01-02
2021-01-03,A.I. Artificial Intelligence,2001,https://boxd.it/1yISbT,,,,2021-01-03
2021-01-05,Intolerance: Love's Struggle Throughout the Ages,1916,https://boxd.it/1z21hp,,,,2021-01-04
2021-01-05,Ma Rainey's Black Bottom,2020,https://boxd.it/1z6W2f,,,,2021-01-05
2021-01-06,The Matrix Revolutions,2003,https://boxd.it/1zeLAr,,,,2021-01-05
2021-01-07,Trumbo,2015,https://boxd.it/1zkLTF,,,,2021-01-06
2021-01-07,Behind the Curve,2018,https://boxd.it/1znv5l,,,,2021-01-06
2021-01-07,The Call,2020,https://boxd.it/1zp6yh,,,,2021-01-07
2021-01-08,Boogie Nights,1997,https://boxd.it/1zwedv,4.5,,,2021-01-08
2021-01-09,BlacKkKlansman,2018,https://boxd.it/1zyx89,5,Yes,,2021-01-08
2021-01-09,The Girl with the Dragon Tattoo,2011,https://boxd.it/1zG1z9,,,,2021-01-09
2021-01-10,Wonder Woman 1984,2020,https://boxd.it/1zOFpz,,,,2021-01-09
2021-01-11,Pieces of a Woman,2020,https://boxd.it/1A0cIh,,,,2021-01-10
2021-01-12,Nocturnal Animals,2016,https://boxd.it/1A8WPf,5,,,2021-01-11
2021-01-12,Singin' in the Rain,1952,https://boxd.it/1A9T85,,,,2021-01-12
2021-01-13,The Death of Stalin,2017,https://boxd.it/1AeWuj,,,,2021-01-12
2021-01-13,Instant Family,2018,https://boxd.it/1Aig6n,5,,,2021-01-12
2021-01-14,Memories of Murder,2003,https://boxd.it/1Av5lH,,,,2021-01-14
2021-01-16,The Revenant,2015,https://boxd.it/1AFvOl,,,,2021-01-15
2021-01-18,Soul,2020,https://boxd.it/1B0DDx,,,,2021-01-17
2021-01-19,Wild Tales,2014,https://boxd.it/1BiwhF,,,,2021-01-18
2021-01-20,Birds of Passage,2018,https://boxd.it/1BonNJ,,,,2021-01-19
2021-01-22,Source Code,2011,https://boxd.it/1BFWY7,,,,2021-01-21
2021-01-23,Brokeback Mountain,2005,https://boxd.it/1BLXZ3,,,,2021-01-22
2021-01-23,Wind River,2017,https://boxd.it/1BO2XZ,,,,2021-01-22
2021-01-25,Promising Young Woman,2020,https://boxd.it/1C6p1Z,,,,2021-01-24
2021-01-26,North by Northwest,1959,https://boxd.it/1CgIU5,,,,2021-01-25
2021-02-02,Sputnik,2020,https://boxd.it/1DfAFD,,,,2021-02-01
2021-02-08,Malcolm & Marie,2021,https://boxd.it/1E7ssz,,,,2021-02-07
2021-02-15,Four Days in September,1997,https://boxd.it/1F6mKJ,,,,2021-02-14
