Date,Name,Year,Letterboxd URI,Rating,Rewatch,Review,Tags,Watched Date
2023-12-25,A Christmas Story,1983,https://boxd.it/5o66cl,,,HO HO HO,,2023-12-24
2023-12-26,Miracle on 34th Street,1947,https://boxd.it/5oCLgx,,,Que filme fofo 🥺,,2023-12-25
2024-01-02,The Secret Life of Walter Mitty,2013,https://boxd.it/5sZ0Op,3.5,,Me deu vontade de largar tudo e ser fotógrafo para uma revista.,,2024-01-01
2024-01-03,Dune,1984,https://boxd.it/5tHxB7,3,,Falta muita coisa do livro nesse filme,,2024-01-02
2024-01-04,The Holdovers,2023,https://boxd.it/5uqrYz,4,,"Dei boas risadas, é um filme bem confortável de assistir",,2024-01-03
2024-01-11,Priscilla,2023,https://boxd.it/5yOyoH,4,,"Espetáculo na Maquiagem, Cabelo e Ambientação.
A atuação do Elvis e da Priscila são fenomenais
A discussão final deles dois e ela deixando Graceland ao som de I Always Love You, espetacular!",,2024-01-10
2024-01-13,Beautiful Boy,2018,https://boxd.it/5zOxcz,,,What if Holly and Michael Scott had a son,,2024-01-12
2024-01-14,Maudie,2016,https://boxd.it/5A6mDv,,,"“It's always different. The whole of life. The whole of life already framed. Right there.”

Simples, Sútil e Belo",,2024-01-13
2024-02-03,Invisible Life,2019,https://boxd.it/5Kq2v7,,,Namoral que tristeza,,2024-02-02
2024-02-05,Ai que Vida!,2008,https://boxd.it/5L8EWD,,,NAM KKKKKKKKK,,2024-02-04
2024-02-19,Cha Cha Real Smooth,2022,https://boxd.it/5RR8m3,4.5,,A vida nos 20 e poucos anos é complicada,,2024-02-18
2024-02-24,The Great Escaper,2023,https://boxd.it/5TXVUN,,,"Triste, Fofo e Engraçado.
Não é um  filme espetacular mas sempre bom ver o Michael Caine em tela",,2024-02-23
2024-03-03,Dune: Part Two,2024,https://boxd.it/5XxDWl,4.5,,Majestoso,,2024-03-02
2024-03-11,American Fiction,2023,https://boxd.it/61ouox,,,"De uma forma extremamente engraçada,  o filme descreve como o capitalismo e as pessoas brancas olham para a representatividade esteriótipada negra apenas como um modo do gerar lucro ou apenas se sentirem melhores em relação  ao seu racismo velado.

Mas o que mais me marcou no filme são as relações familiares do Monk com a irmã, a mãe, o Cliff e a Lorraine. Senti falta de maior peso dramático com a morte da irmã logo no início mas no balanço final gostei muito do filme. 

Fazia tempo que não ria tanto, eu preciso de filmes do Jeffrey Wright e do Sterling K Brown atuando juntos pra ontem !",,2024-03-10
2024-03-28,The Beachnickers 2,2024,https://boxd.it/69rd23,2,,"As piadas escatológicas e de tio do pavê funcionaram e me fizeram rir muito mas a cada minuto que a Daniele Winits (Nicole Kidman brasileira) entra em cena com aquele botox mal feito e berrando igual uma cabra no cio, me fazia querer arrancar meus olhos e ouvidos.O mesmo vale para as cenas das gêmeas e do cara germofobico. Quase morri de cringe.

Oba: As referências á Top Gun Marverick e The Usual Suspects foram geniais.",,2024-03-27
2024-04-07,Before the Devil Knows You're Dead,2007,https://boxd.it/6e0e8R,,,"Todo filme com PSH, vai ter uma grande atuação dele. Gostei muito da trilha sonora do filme também, os 30 minutos finais são incríveis.",,2024-04-06
2024-04-07,12 Angry Men,1957,https://boxd.it/6e6iKx,5,Yes,Obra Prima,,2024-04-06
